微博URL	微博内容	发表时间	UID	昵称	评论数	转发数	是否原创	是否包含图片	是否包含短链	发布来源
http://api.t.sina.com.cn/2219450721/statuses/3608797937237503	@新浪视野 的文章 ：【十大“伤城”：北京堵上海贵天津太平庸】  我分享了http://t.cn/zQGXU7m	2013-08-07 23:05:39	2219450721	范范有约	0	0	True	False	True	iPhone客户端
http://api.t.sina.com.cn/2219450721/statuses/3608795555012640	新浪微博客户端换新装！全新界面，卡片化浏览体验；主页全面升级，新增高清头图；右上角更精彩，轻松扫二维码、摇周边。新浪微博客户端3.6.0为你而改变 [good]！观看视频，了解更多：http://t.cn/zQG25Qn 下载地址：http://t.cn/zOZGnnD	2013-08-07 22:56:11	2219450721	范范有约	0	0	True	True	True	iPhone客户端
http://api.t.sina.com.cn/2219450721/statuses/3602982979304630	姑侄面膜时间，我的大饼臉   iPhone版#	2013-07-22 21:59:03	2219450721	范范有约	10	10	True	True	False	美图秀秀iPhone版
http://api.t.sina.com.cn/2219450721/statuses/3598131067872937	@猎鱼高手 网络对战开通啦~与千里之外的朋友一决胜负是不是让你很兴奋呢~ http://t.cn/zWGI7yP	2013-07-09 12:39:20	2219450721	范范有约	6	6	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3588345936460030	快来啊！用@猎鱼高手 和你爱的人留下浪漫的回忆。 http://t.cn/zWGI7yP	2013-06-12 12:36:41	2219450721	范范有约	1	4	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3587748583421670	看到@猎鱼高手 里的小鱼在你面前游来游去，作为猎鱼高手的你还hold住吗？ http://t.cn/zWGI7yP	2013-06-10 21:03:00	2219450721	范范有约	0	0	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3587748512371283	看到@猎鱼高手 里的小鱼在你面前游来游去，作为猎鱼高手的你还hold住吗？ http://t.cn/zWGI7yP	2013-06-10 21:02:43	2219450721	范范有约	0	0	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3587742078209213	快来啊！用@猎鱼高手 和你爱的人留下浪漫的回忆。 http://t.cn/zWGI7yP	2013-06-10 20:37:09	2219450721	范范有约	0	0	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3582919689603187	@猎鱼高手 升级就可以拿玩偶啦~还等什么呢？八级炮指日可待了！ http://t.cn/zWGI7yP	2013-05-28 13:14:43	2219450721	范范有约	8	8	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3582919395972816	看到@猎鱼高手 里的小鱼在你面前游来游去，作为猎鱼高手的你还hold住吗？ http://t.cn/zWGI7yP	2013-05-28 13:13:33	2219450721	范范有约	0	0	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3582562528001830	@猎鱼高手 网络对战居然可以挑战GM小兰！赶紧来试试吧~~ http://t.cn/zWGI7yP	2013-05-27 13:35:29	2219450721	范范有约	1	1	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3582562469276459	和爱人一起沉浸充满浪漫色彩的＃猎鱼高手＃世界里吧！ http://t.cn/zWGI7yP	2013-05-27 13:35:15	2219450721	范范有约	0	0	True	True	True	猎鱼高手
http://api.t.sina.com.cn/2219450721/statuses/3566021590156990	我在玩啪啪，可以让照片说话，超好玩的，赶紧下一个一起玩>>>http://t.cn/zYe2BS8	2013-04-11 22:07:42	2219450721	范范有约	0	0	True	True	True	啪啪
http://api.t.sina.com.cn/2219450721/statuses/3558742371489446	新年新气象，春节版微博iPhone客户端好喜庆！新版特性:1.新增精美新年主题;2.全新话题功能;3.支持分享到微信!http://t.cn/hKkeW	2013-03-22 20:02:42	2219450721	范范有约	2	2	True	True	True	iPhone客户端
http://api.t.sina.com.cn/2219450721/statuses/3542022189739085	推荐@林涛1982 的帖子《一个高才生的信,全国皆震惊!》，大家也来看看吧～ http://t.cn/zjBm3zB	2013-02-04 16:42:38	2219450721	范范有约	0	1	True	False	True	微吧
http://api.t.sina.com.cn/2219450721/statuses/3542020214026609	推荐@再坚强的爱情也经不住时间 的帖子《幼儿老师的痛处，无人能懂！》，大家也来看看吧～	2013-02-04 16:34:49	2219450721	范范有约	0	0	False	False	False	微吧
http://api.t.sina.com.cn/2219450721/statuses/3539839485572139	//@柳岩: 太好笑了[哈哈]//@剧照傅 [哈哈]	2013-01-29 16:09:22	2219450721	范范有约	0	2	False	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3537206889581360	推荐@八卦早报 的帖子《城管你能不能别嚣张！老人都自扇耳光向你求饶了》，大家也来看看吧～	2013-01-22 09:48:23	2219450721	范范有约	0	3	False	False	False	微吧
http://api.t.sina.com.cn/2219450721/statuses/3536975459905519	齐秦-夜夜夜夜-http://t.cn/h9lU8	2013-01-21 18:28:46	2219450721	范范有约	0	0	True	False	True	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3536185470902532	上传了4张照片到“微相册”。 http://t.cn/zjFAOxz	2013-01-19 14:09:38	2219450721	范范有约	0	2	True	True	True	微相册
http://api.t.sina.com.cn/2219450721/statuses/3535970810651995	我是歌手，真的是太好看。齐秦唱的好好听。。大家我都好喜欢呀，怎么办，睡不着觉	2013-01-18 23:56:36	2219450721	范范有约	0	0	True	False	False	UC浏览器
http://api.t.sina.com.cn/2219450721/statuses/3535814548191858	【快来微博搜索 找朋友 吧！】通过关注分组帮你寻觅散落在微博上的身边好友；独有星座筛选功能，帮你在朋友关系圈中找感情和事业最佳配对！http://t.cn/zjC6PAh	2013-01-18 13:35:43	2219450721	范范有约	0	0	True	True	True	微博搜索
http://api.t.sina.com.cn/2219450721/statuses/3535595483845474	无糖，安息。天堂里再无疼痛。 http://t.cn/zjejemI	2013-01-17 23:05:13	2219450721	范范有约	0	0	True	False	True	天涯社区
http://api.t.sina.com.cn/2219450721/statuses/3535592815874646	有细纹呀！！得修理下皮肤了，聚会的时候不会显得太寒碜了！	2013-01-17 22:54:36	2219450721	范范有约	0	0	True	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3535066598230525	#吴莫愁曝清纯素颜照#	2013-01-16 12:03:36	2219450721	范范有约	0	0	True	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3535066225218133	奶奶今天过生日，早上订一个蛋糕，晚上一起给老人家过过。现在聚在一起不容易呀！！珍惜。生日快乐！万寿无疆！	2013-01-16 12:02:09	2219450721	范范有约	0	0	True	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3534744778174497	//@李念: [威武]	2013-01-15 14:44:50	2219450721	范范有约	0	0	False	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3534738058887127	邻居的小弟，前几天因为骑摩托车出了事故，就这么走了！年轻的生命就这样无声 的离开了。看到他爸妈，心痛不已。	2013-01-15 14:18:06	2219450721	范范有约	0	0	True	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3534735450137095	往北天气不好，还是把首都搬到南方来吧 详情:http://t.cn/zjgIZeM	2013-01-15 14:07:45	2219450721	范范有约	0	0	True	False	True	微话题
http://api.t.sina.com.cn/2219450721/statuses/3534429207326188	喜欢 @儿童摄影师大宝儿爸 的照片“#三星Galaxy 爱.分享#”http://t.cn/zjlaUh1	2013-01-14 17:50:52	2219450721	范范有约	0	1	True	True	True	微相册
http://api.t.sina.com.cn/2219450721/statuses/3534422772601527	呵呵，刚才公交车上一位阿姨说了句：“真是小孩生小孩！”虽然有点讽刺但我还是挺开心的，说明俺很年轻嘛！	2013-01-14 17:25:17	2219450721	范范有约	0	0	True	False	False	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3534385410232012	中午可以腾出时间了	2013-01-14 14:56:50	2219450721	范范有约	0	0	True	False	False	应用广场
http://api.t.sina.com.cn/2219450721/statuses/3534381802998116	我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接[嘻嘻]http://t.cn/hDxXJo	2013-01-14 14:42:30	2219450721	范范有约	0	0	True	True	True	微相册
http://api.t.sina.com.cn/2219450721/statuses/3534380187974774	我已经抢"鲜"升级#新版微博#，想体验你的微博生活么？快来升级吧~~http://weibo.com/new?f=5 ；这里有我的曾经、现在和未来！这是我的微博生活~~ 点击播放：http://t.cn/zjdOiW2	2013-01-14 14:36:03	2219450721	范范有约	0	0	True	False	True	360安全浏览器
http://api.t.sina.com.cn/2219450721/statuses/3511856826646346	分享了http://t.cn/zjz4i3k	2012-11-13 10:56:16	2219450721	范范有约	0	2	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3511621420692863	转发微博	2012-11-12 19:20:52	2219450721	范范有约	0	0	False	False	False	UC浏览器
http://api.t.sina.com.cn/2219450721/statuses/3511620687179919	为什么和婆婆就是这么难相处？能不能嘴下留情呢！	2012-11-12 19:17:57	2219450721	范范有约	0	0	True	False	False	UC浏览器
http://api.t.sina.com.cn/2219450721/statuses/3509005010273677	北京下雪了，我们这也不远了	2012-11-05 14:04:10	2219450721	范范有约	0	0	True	False	False	UC浏览器
http://api.t.sina.com.cn/2219450721/statuses/3509004670092361	脚 看看大家怎么说>>http://t.cn/zlkXN59	2012-11-05 14:02:50	2219450721	范范有约	0	0	False	False	True	UC浏览器
http://api.t.sina.com.cn/2219450721/statuses/3508238417083849	喵星人们，我的点击速度超过了85%的人哦！羡慕吧！而且得到奖牌还能提高中奖机率哦，红包，你等我！#11.11购物狂欢节#http://t.cn/zlgeHzn	2012-11-03 11:18:01	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507627172938368	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zld3vmk	2012-11-01 18:49:07	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507626938013608	耶，我中到了5元！积小成多，我要多顶顶，说不定大红包就来了，哈哈！#11.11购物狂欢节#http://t.cn/zlduF3A	2012-11-01 18:48:11	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507625977421334	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zldu13v	2012-11-01 18:44:23	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507625666984331	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zlduucz	2012-11-01 18:43:09	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507625356549087	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zlduEnP	2012-11-01 18:41:57	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507625113680252	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zldu8rg	2012-11-01 18:40:58	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507624866170791	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zlduHeA	2012-11-01 18:39:58	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507624773879283	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zlduHUJ	2012-11-01 18:39:34	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507612865982232	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zldmzpK	2012-11-01 17:52:19	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3507611339423765	哦耶！我中到了！感谢包大人、天猫、还有偶那牛逼滴神手！哈哈…#11.11购物狂欢节#http://t.cn/zldn1JF	2012-11-01 17:46:14	2219450721	范范有约	0	0	True	True	True	Tmall天猫
http://api.t.sina.com.cn/2219450721/statuses/3502622881630468	这演技看不下去了。河吼	2012-10-18 23:23:54	2219450721	范范有约	0	0	True	False	False	UC浏览器
